"Title","Type","Circulation","Price","Year","Month","Date"
"Black Mask","Pulp","58,618","0.00","1925","8","01 Aug 1925"
"Black Mask","Pulp","63,224","0.00","1925","9","01 Sep 1925"
"Black Mask","Pulp","61,929","0.00","1925","10","01 Oct 1925"
"Black Mask","Pulp","65,231","0.00","1925","11","01 Nov 1925"
"Black Mask","Pulp","61,738","0.00","1925","12","01 Dec 1925"
"Black Mask","Pulp","68,816","0.00","1926","1","01 Jan 1926"
"Black Mask","Pulp","78,230","0.00","1926","2","01 Feb 1926"
"Black Mask","Pulp","71,993","0.00","1926","3","01 Mar 1926"
"Black Mask","Pulp","72,647","0.00","1926","4","01 Apr 1926"
"Black Mask","Pulp","52,815","0.00","1926","5","01 May 1926"
"Black Mask","Pulp","52,822","0.00","1926","6","01 Jun 1926"
"Black Mask","Pulp","57,282","0.00","1926","7","01 Jul 1926"
"Black Mask","Pulp","70,047","0.00","1926","8","01 Aug 1926"
"Black Mask","Pulp","80,586","0.00","1926","9","01 Sep 1926"
"Black Mask","Pulp","72,957","0.00","1926","10","01 Oct 1926"
"Black Mask","Pulp","69,693","0.00","1926","11","01 Nov 1926"
"Black Mask","Pulp","79,210","0.00","1926","12","01 Dec 1926"
"Black Mask","Pulp","71,431","0.00","1927","7","01 Jul 1927"
"Black Mask","Pulp","77,846","0.00","1927","8","01 Aug 1927"
"Black Mask","Pulp","91,912","0.00","1927","9","01 Sep 1927"
"Black Mask","Pulp","84,160","0.00","1927","10","01 Oct 1927"
"Black Mask","Pulp","80,236","0.00","1927","11","01 Nov 1927"
"Black Mask","Pulp","95,269","0.00","1927","12","01 Dec 1927"
"Black Mask","Pulp","106,417","0.00","1928","1","01 Jan 1928"
"Black Mask","Pulp","94,279","0.00","1928","2","01 Feb 1928"
"Black Mask","Pulp","85,904","0.00","1928","3","01 Mar 1928"
"Black Mask","Pulp","90,901","0.00","1928","4","01 Apr 1928"
"Black Mask","Pulp","89,132","0.00","1928","5","01 May 1928"
"Black Mask","Pulp","90,333","0.00","1928","6","01 Jun 1928"
"Black Mask","Pulp","83,755","0.00","1928","7","01 Jul 1928"
"Black Mask","Pulp","93,542","0.00","1928","8","01 Aug 1928"
"Black Mask","Pulp","106,097","0.00","1928","9","01 Sep 1928"
"Black Mask","Pulp","95,498","0.00","1928","10","01 Oct 1928"
"Black Mask","Pulp","97,750","0.00","1928","11","01 Nov 1928"
"Black Mask","Pulp","95,834","0.00","1928","12","01 Dec 1928"
"Black Mask","Pulp","104,848","0.00","1929","1","01 Jan 1929"
"Black Mask","Pulp","112,015","0.00","1929","2","01 Feb 1929"
"Black Mask","Pulp","94,693","0.00","1929","3","01 Mar 1929"
"Black Mask","Pulp","105,885","0.00","1929","4","01 Apr 1929"
"Black Mask","Pulp","95,503","0.00","1929","5","01 May 1929"
"Black Mask","Pulp","102,430","0.00","1929","6","01 Jun 1929"
"Black Mask","Pulp","100,088","0.00","1929","7","01 Jul 1929"
"Black Mask","Pulp","93,606","0.00","1929","8","01 Aug 1929"
"Black Mask","Pulp","123,733","0.00","1929","9","01 Sep 1929"
"Black Mask","Pulp","119,431","0.00","1929","10","01 Oct 1929"
"Black Mask","Pulp","123,461","0.00","1929","11","01 Nov 1929"
"Black Mask","Pulp","124,463","0.00","1929","12","01 Dec 1929"
"Black Mask","Pulp","116,647","0.00","1930","1","01 Jan 1930"
"Black Mask","Pulp","110,681","0.00","1930","2","01 Feb 1930"
"Black Mask","Pulp","105,039","0.00","1930","3","01 Mar 1930"
"Black Mask","Pulp","102,204","0.00","1930","4","01 Apr 1930"
"Black Mask","Pulp","86,519","0.00","1930","5","01 May 1930"
"Black Mask","Pulp","96,505","0.00","1930","6","01 Jun 1930"
"Black Mask","Pulp","89,876","0.00","1930","7","01 Jul 1930"
"Black Mask","Pulp","98,607","0.00","1930","8","01 Aug 1930"
