"Title","Type","Circulation","Price","Year","Month","Date"
"New Yorker","Quality","5,694","0.00","1925","7","04 Jul 1925"
"New Yorker","Quality","6,017","0.00","1925","7","11 Jul 1925"
"New Yorker","Quality","7,820","0.00","1925","7","18 Jul 1925"
"New Yorker","Quality","5,575","0.00","1925","7","25 Jul 1925"
"New Yorker","Quality","4,591","0.00","1925","8","01 Aug 1925"
"New Yorker","Quality","6,126","0.00","1925","8","15 Aug 1925"
"New Yorker","Quality","6,835","0.00","1925","8","22 Aug 1925"
"New Yorker","Quality","6,740","0.00","1925","8","29 Aug 1925"
"New Yorker","Quality","6,203","0.00","1925","9","05 Sep 1925"
"New Yorker","Quality","13,788","0.00","1925","9","12 Sep 1925"
"New Yorker","Quality","12,108","0.00","1925","9","19 Sep 1925"
"New Yorker","Quality","14,177","0.00","1925","9","26 Sep 1925"
"New Yorker","Quality","12,069","0.00","1925","10","03 Oct 1925"
"New Yorker","Quality","12,166","0.00","1925","10","10 Oct 1925"
"New Yorker","Quality","14,008","0.00","1925","10","17 Oct 1925"
"New Yorker","Quality","13,647","0.00","1925","10","24 Oct 1925"
"New Yorker","Quality","16,395","0.00","1925","10","31 Oct 1925"
"New Yorker","Quality","19,006","0.00","1925","11","07 Nov 1925"
"New Yorker","Quality","20,799","0.00","1925","11","14 Nov 1925"
"New Yorker","Quality","31,900","0.00","1926","1","02 Jan 1926"
"New Yorker","Quality","33,723","0.00","1926","1","09 Jan 1926"
"New Yorker","Quality","35,564","0.00","1926","1","16 Jan 1926"
"New Yorker","Quality","35,803","0.00","1926","1","23 Jan 1926"
"New Yorker","Quality","37,114","0.00","1926","1","30 Jan 1926"
"New Yorker","Quality","34,340","0.00","1926","2","06 Feb 1926"
"New Yorker","Quality","36,097","0.00","1926","2","13 Feb 1926"
"New Yorker","Quality","36,535","0.00","1926","2","20 Feb 1926"
"New Yorker","Quality","35,812","0.00","1926","2","27 Feb 1926"
"New Yorker","Quality","37,770","0.00","1926","3","06 Mar 1926"
"New Yorker","Quality","37,401","0.00","1926","3","13 Mar 1926"
"New Yorker","Quality","40,958","0.00","1926","3","20 Mar 1926"
"New Yorker","Quality","40,887","0.00","1926","3","27 Mar 1926"
"New Yorker","Quality","40,031","0.00","1926","4","03 Apr 1926"
"New Yorker","Quality","39,909","0.00","1926","4","10 Apr 1926"
"New Yorker","Quality","41,047","0.00","1926","4","17 Apr 1926"
"New Yorker","Quality","41,727","0.00","1926","4","24 Apr 1926"
"New Yorker","Quality","39,855","0.00","1926","5","01 May 1926"
"New Yorker","Quality","41,445","0.00","1926","5","08 May 1926"
"New Yorker","Quality","42,063","0.00","1926","5","15 May 1926"
"New Yorker","Quality","41,974","0.00","1926","5","22 May 1926"
"New Yorker","Quality","43,733","0.00","1926","5","29 May 1926"
"New Yorker","Quality","44,424","0.00","1926","6","05 Jun 1926"
"New Yorker","Quality","44,507","0.00","1926","6","12 Jun 1926"
"New Yorker","Quality","43,241","0.00","1926","6","19 Jun 1926"
"New Yorker","Quality","43,304","0.00","1926","6","26 Jun 1926"
"New Yorker","Quality","38,043","0.00","1926","7","03 Jul 1926"
"New Yorker","Quality","36,927","0.00","1926","7","10 Jul 1926"
"New Yorker","Quality","46,526","0.00","1926","7","17 Jul 1926"
"New Yorker","Quality","44,776","0.00","1926","7","24 Jul 1926"
"New Yorker","Quality","41,740","0.00","1926","7","31 Jul 1926"
"New Yorker","Quality","42,315","0.00","1926","8","07 Aug 1926"
"New Yorker","Quality","43,781","0.00","1926","8","14 Aug 1926"
"New Yorker","Quality","43,780","0.00","1926","8","21 Aug 1926"
"New Yorker","Quality","45,970","0.00","1926","8","28 Aug 1926"
"New Yorker","Quality","43,375","0.00","1926","9","04 Sep 1926"
"New Yorker","Quality","43,099","0.00","1926","9","11 Sep 1926"
"New Yorker","Quality","42,867","0.00","1926","9","18 Sep 1926"
"New Yorker","Quality","43,329","0.00","1926","9","25 Sep 1926"
"New Yorker","Quality","43,873","0.00","1926","10","02 Oct 1926"
"New Yorker","Quality","45,785","0.00","1926","10","09 Oct 1926"
"New Yorker","Quality","49,584","0.00","1926","10","16 Oct 1926"
"New Yorker","Quality","48,923","0.00","1926","10","23 Oct 1926"
"New Yorker","Quality","47,352","0.00","1926","10","30 Oct 1926"
"New Yorker","Quality","49,304","0.00","1926","11","06 Nov 1926"
"New Yorker","Quality","48,623","0.00","1926","11","13 Nov 1926"
"New Yorker","Quality","53,609","0.00","1926","11","20 Nov 1926"
"New Yorker","Quality","52,811","0.00","1926","11","27 Nov 1926"
"New Yorker","Quality","52,421","0.00","1926","12","04 Dec 1926"
"New Yorker","Quality","52,893","0.00","1926","12","11 Dec 1926"
"New Yorker","Quality","52,518","0.00","1926","12","18 Dec 1926"
"New Yorker","Quality","52,370","0.00","1926","12","25 Dec 1926"
"New Yorker","Quality","56,461","0.00","1927","7","02 Jul 1927"
"New Yorker","Quality","56,748","0.00","1927","7","09 Jul 1927"
"New Yorker","Quality","56,433","0.00","1927","7","16 Jul 1927"
"New Yorker","Quality","54,545","0.00","1927","7","23 Jul 1927"
"New Yorker","Quality","56,742","0.00","1927","7","30 Jul 1927"
"New Yorker","Quality","55,752","0.00","1927","8","06 Aug 1927"
"New Yorker","Quality","54,036","0.00","1927","8","13 Aug 1927"
"New Yorker","Quality","54,022","0.00","1927","8","20 Aug 1927"
"New Yorker","Quality","57,825","0.00","1927","8","27 Aug 1927"
"New Yorker","Quality","59,061","0.00","1927","9","03 Sep 1927"
"New Yorker","Quality","58,053","0.00","1927","9","10 Sep 1927"
"New Yorker","Quality","59,493","0.00","1927","9","17 Sep 1927"
"New Yorker","Quality","60,376","0.00","1927","9","24 Sep 1927"
"New Yorker","Quality","61,514","0.00","1927","10","01 Oct 1927"
"New Yorker","Quality","62,394","0.00","1927","10","08 Oct 1927"
"New Yorker","Quality","62,525","0.00","1927","10","15 Oct 1927"
"New Yorker","Quality","63,312","0.00","1927","10","22 Oct 1927"
"New Yorker","Quality","64,049","0.00","1927","10","29 Oct 1927"
"New Yorker","Quality","63,820","0.00","1927","11","05 Nov 1927"
"New Yorker","Quality","64,970","0.00","1927","11","12 Nov 1927"
"New Yorker","Quality","65,134","0.00","1927","11","19 Nov 1927"
"New Yorker","Quality","65,962","0.00","1927","11","26 Nov 1927"
"New Yorker","Quality","64,852","0.00","1927","12","03 Dec 1927"
"New Yorker","Quality","64,951","0.00","1927","12","10 Dec 1927"
"New Yorker","Quality","68,001","0.00","1927","12","17 Dec 1927"
"New Yorker","Quality","68,197","0.00","1927","12","24 Dec 1927"
"New Yorker","Quality","69,199","0.00","1927","12","31 Dec 1927"
"New Yorker","Quality","71,522","0.00","1928","1","07 Jan 1928"
"New Yorker","Quality","71,672","0.00","1928","1","14 Jan 1928"
"New Yorker","Quality","70,896","0.00","1928","1","21 Jan 1928"
"New Yorker","Quality","70,480","0.00","1928","1","28 Jan 1928"
"New Yorker","Quality","70,088","0.00","1928","2","04 Feb 1928"
"New Yorker","Quality","70,416","0.00","1928","2","11 Feb 1928"
"New Yorker","Quality","71,057","0.00","1928","2","18 Feb 1928"
"New Yorker","Quality","70,793","0.00","1928","2","25 Feb 1928"
"New Yorker","Quality","71,470","0.00","1928","3","03 Mar 1928"
"New Yorker","Quality","69,861","0.00","1928","3","10 Mar 1928"
"New Yorker","Quality","70,414","0.00","1928","3","17 Mar 1928"
"New Yorker","Quality","71,437","0.00","1928","3","23 Mar 1928"
"New Yorker","Quality","70,682","0.00","1928","3","31 Mar 1928"
"New Yorker","Quality","68,777","0.00","1928","4","07 Apr 1928"
"New Yorker","Quality","68,859","0.00","1928","4","14 Apr 1928"
"New Yorker","Quality","69,002","0.00","1928","4","21 Apr 1928"
"New Yorker","Quality","68,886","0.00","1928","4","28 Apr 1928"
"New Yorker","Quality","69,302","0.00","1928","5","05 May 1928"
"New Yorker","Quality","69,290","0.00","1928","5","12 May 1928"
"New Yorker","Quality","68,874","0.00","1928","5","19 May 1928"
"New Yorker","Quality","68,719","0.00","1928","5","26 May 1928"
"New Yorker","Quality","68,252","0.00","1928","6","02 Jun 1928"
"New Yorker","Quality","66,728","0.00","1928","6","09 Jun 1928"
"New Yorker","Quality","66,507","0.00","1928","6","16 Jun 1928"
"New Yorker","Quality","66,118","0.00","1928","6","23 Jun 1928"
"New Yorker","Quality","66,185","0.00","1928","6","30 Jun 1928"
"New Yorker","Quality","66,326","0.00","1928","7","07 Jul 1928"
"New Yorker","Quality","66,718","0.00","1928","7","14 Jul 1928"
"New Yorker","Quality","67,557","0.00","1928","7","21 Jul 1928"
"New Yorker","Quality","68,582","0.00","1928","7","28 Jul 1928"
"New Yorker","Quality","68,755","0.00","1928","8","04 Aug 1928"
"New Yorker","Quality","68,716","0.00","1928","8","11 Aug 1928"
"New Yorker","Quality","69,494","0.00","1928","8","18 Aug 1928"
"New Yorker","Quality","66,169","0.00","1928","8","25 Aug 1928"
