"Title","Type","Circulation","Price","Year","Month","Date"
"Saturday Evening Post","Slick","2,387,459","","1925","1","03 Jan 1925"
"Saturday Evening Post","Slick","2,434,192","","1925","1","10 Jan 1925"
"Saturday Evening Post","Slick","2,433,867","","1925","1","17 Jan 1925"
"Saturday Evening Post","Slick","2,443,705","","1925","1","24 Jan 1925"
"Saturday Evening Post","Slick","2,479,899","","1925","1","31 Jan 1925"
"Saturday Evening Post","Slick","2,488,432","","1925","2","07 Feb 1925"
"Saturday Evening Post","Slick","2,480,029","","1925","2","14 Feb 1925"
"Saturday Evening Post","Slick","2,495,859","","1925","2","21 Feb 1925"
"Saturday Evening Post","Slick","2,491,962","","1925","2","28 Feb 1925"
"Saturday Evening Post","Slick","2,498,054","","1925","3","07 Mar 1925"
"Saturday Evening Post","Slick","2,457,582","","1925","3","14 Mar 1925"
"Saturday Evening Post","Slick","2,451,247","","1925","3","21 Mar 1925"
"Saturday Evening Post","Slick","2,454,286","","1925","3","28 Mar 1925"
"Saturday Evening Post","Slick","2,448,853","","1925","4","04 Apr 1925"
"Saturday Evening Post","Slick","2,452,149","","1925","4","11 Apr 1925"
"Saturday Evening Post","Slick","2,421,827","","1925","4","18 Apr 1925"
"Saturday Evening Post","Slick","2,389,095","","1925","4","25 Apr 1925"
"Saturday Evening Post","Slick","2,422,782","","1925","5","02 May 1925"
"Saturday Evening Post","Slick","2,392,791","","1925","5","09 May 1925"
"Saturday Evening Post","Slick","2,394,264","","1925","5","16 May 1925"
"Saturday Evening Post","Slick","2,382,669","","1925","5","23 May 1925"
"Saturday Evening Post","Slick","2,351,228","","1925","5","30 May 1925"
"Saturday Evening Post","Slick","2,325,097","","1925","6","06 Jun 1925"
"Saturday Evening Post","Slick","2,332,868","","1925","6","13 Jun 1925"
"Saturday Evening Post","Slick","2,321,161","","1925","6","20 Jun 1925"
"Saturday Evening Post","Slick","2,293,188","","1925","6","27 Jun 1925"
"Saturday Evening Post","Slick","2,290,894","0.00","1925","7","04 Jul 1925"
"Saturday Evening Post","Slick","2,325,933","0.00","1925","7","11 Jul 1925"
"Saturday Evening Post","Slick","2,361,756","0.00","1925","7","18 Jul 1925"
"Saturday Evening Post","Slick","2,379,590","0.00","1925","7","25 Jul 1925"
"Saturday Evening Post","Slick","2,412,488","0.00","1925","8","01 Aug 1925"
"Saturday Evening Post","Slick","2,414,308","0.00","1925","8","08 Aug 1925"
"Saturday Evening Post","Slick","2,406,192","0.00","1925","8","15 Aug 1925"
"Saturday Evening Post","Slick","2,327,030","0.00","1925","8","22 Aug 1925"
"Saturday Evening Post","Slick","2,344,177","0.00","1925","8","29 Aug 1925"
"Saturday Evening Post","Slick","2,441,986","0.00","1925","9","05 Sep 1925"
"Saturday Evening Post","Slick","2,440,654","0.00","1925","9","12 Sep 1925"
"Saturday Evening Post","Slick","2,441,505","0.00","1925","9","19 Sep 1925"
"Saturday Evening Post","Slick","2,422,460","0.00","1925","9","26 Sep 1925"
"Saturday Evening Post","Slick","2,445,615","0.00","1925","10","03 Oct 1925"
"Saturday Evening Post","Slick","2,495,556","0.00","1925","10","10 Oct 1925"
"Saturday Evening Post","Slick","2,485,744","0.00","1925","10","17 Oct 1925"
"Saturday Evening Post","Slick","2,496,535","0.00","1925","10","24 Oct 1925"
"Saturday Evening Post","Slick","2,509,963","0.00","1925","10","31 Oct 1925"
"Saturday Evening Post","Slick","2,560,225","0.00","1925","11","07 Nov 1925"
"Saturday Evening Post","Slick","2,572,955","0.00","1925","11","14 Nov 1925"
"Saturday Evening Post","Slick","2,552,533","0.00","1925","11","21 Nov 1925"
"Saturday Evening Post","Slick","2,573,492","0.00","1925","11","28 Nov 1925"
"Saturday Evening Post","Slick","2,585,182","0.00","1925","12","05 Dec 1925"
"Saturday Evening Post","Slick","2,576,986","0.00","1925","12","12 Dec 1925"
"Saturday Evening Post","Slick","2,558,435","0.00","1925","12","19 Dec 1925"
"Saturday Evening Post","Slick","2,528,491","0.00","1925","12","26 Dec 1925"
"Saturday Evening Post","Slick","2,606,012","0.00","1926","7","03 Jul 1926"
"Saturday Evening Post","Slick","2,631,797","0.00","1926","7","10 Jul 1926"
"Saturday Evening Post","Slick","2,648,319","0.00","1926","7","17 Jul 1926"
"Saturday Evening Post","Slick","2,656,136","0.00","1926","7","24 Jul 1926"
"Saturday Evening Post","Slick","2,672,302","0.00","1926","7","31 Jul 1926"
"Saturday Evening Post","Slick","2,650,273","0.00","1926","8","07 Aug 1926"
"Saturday Evening Post","Slick","2,661,063","0.00","1926","8","14 Aug 1926"
"Saturday Evening Post","Slick","2,670,392","0.00","1926","8","21 Aug 1926"
"Saturday Evening Post","Slick","2,652,527","0.00","1926","8","28 Aug 1926"
"Saturday Evening Post","Slick","2,652,053","0.00","1926","9","04 Sep 1926"
"Saturday Evening Post","Slick","2,678,104","0.00","1926","9","11 Sep 1926"
"Saturday Evening Post","Slick","2,671,985","0.00","1926","9","18 Sep 1926"
"Saturday Evening Post","Slick","2,651,458","0.00","1926","9","25 Sep 1926"
"Saturday Evening Post","Slick","2,649,253","0.00","1926","10","02 Oct 1926"
"Saturday Evening Post","Slick","2,666,076","0.00","1926","10","09 Oct 1926"
"Saturday Evening Post","Slick","2,673,911","0.00","1926","10","16 Oct 1926"
"Saturday Evening Post","Slick","2,669,975","0.00","1926","10","23 Oct 1926"
