"Title","Type","Circulation","Price","Year","Month","Date"
"Street & Smith","Pulp group","1,235,726","","1925","1","01 Jan 1925"
"Street & Smith","Pulp group","1,289,209","","1925","2","01 Feb 1925"
"Street & Smith","Pulp group","960,256","","1925","3","01 Mar 1925"
"Street & Smith","Pulp group","1,105,131","","1925","4","01 Apr 1925"
"Street & Smith","Pulp group","1,122,030","","1925","5","01 May 1925"
"Street & Smith","Pulp group","969,166","","1925","6","01 Jun 1925"
"Street & Smith","Pulp group","1,164,835","","1925","7","01 Jul 1925"
"Street & Smith","Pulp group","1,197,694","","1925","8","01 Aug 1925"
"Street & Smith","Pulp group","1,299,009","","1925","9","01 Sep 1925"
"Street & Smith","Pulp group","1,328,945","","1925","10","01 Oct 1925"
"Street & Smith","Pulp group","1,275,000","","1925","11","01 Nov 1925"
"Street & Smith","Pulp group","1,300,470","","1925","12","01 Dec 1925"
"Street & Smith","Pulp group","1,257,319","","1926","1","01 Jan 1926"
"Street & Smith","Pulp group","1,401,074","","1926","2","01 Feb 1926"
"Street & Smith","Pulp group","1,427,976","","1926","3","01 Mar 1926"
"Street & Smith","Pulp group","1,382,354","","1926","4","01 Apr 1926"
"Street & Smith","Pulp group","1,289,811","","1926","5","01 May 1926"
"Street & Smith","Pulp group","1,209,521","","1926","6","01 Jun 1926"
"Street & Smith","Pulp group","1,236,890","","1926","7","01 Jul 1926"
"Street & Smith","Pulp group","1,225,502","","1926","8","01 Aug 1926"
"Street & Smith","Pulp group","1,239,866","","1926","9","01 Sep 1926"
"Street & Smith","Pulp group","1,259,048","","1926","10","01 Oct 1926"
"Street & Smith","Pulp group","1,280,712","","1926","11","01 Nov 1926"
"Street & Smith","Pulp group","1,286,325","","1926","12","01 Dec 1926"
"Street & Smith","Pulp group","1,297,402","","1928","1","01 Jan 1928"
"Street & Smith","Pulp group","1,265,002","","1928","2","01 Feb 1928"
"Street & Smith","Pulp group","1,220,349","","1928","3","01 Mar 1928"
"Street & Smith","Pulp group","1,134,420","","1928","4","01 Apr 1928"
"Street & Smith","Pulp group","1,151,949","","1928","5","01 May 1928"
"Street & Smith","Pulp group","1,149,896","","1928","6","01 Jun 1928"
"Street & Smith","Pulp group","1,059,872","","1928","7","01 Jul 1928"
"Street & Smith","Pulp group","1,114,610","","1928","8","01 Aug 1928"
"Street & Smith","Pulp group","1,149,463","","1928","9","01 Sep 1928"
"Street & Smith","Pulp group","1,119,185","","1928","10","01 Oct 1928"
"Street & Smith","Pulp group","1,143,871","","1928","11","01 Nov 1928"
"Street & Smith","Pulp group","1,183,235","","1928","12","01 Dec 1928"
"Street & Smith","Pulp group","1,264,750","","1929","1","01 Jan 1929"
"Street & Smith","Pulp group","1,279,100","","1929","2","01 Feb 1929"
"Street & Smith","Pulp group","1,203,730","","1929","3","01 Mar 1929"
"Street & Smith","Pulp group","1,083,590","","1929","4","01 Apr 1929"
"Street & Smith","Pulp group","1,091,002","","1929","5","01 May 1929"
"Street & Smith","Pulp group","1,072,589","","1929","6","01 Jun 1929"
"Street & Smith","Pulp group","1,027,485","","1929","7","01 Jul 1929"
"Street & Smith","Pulp group","1,060,522","","1929","8","01 Aug 1929"
"Street & Smith","Pulp group","1,167,351","","1929","9","01 Sep 1929"
"Street & Smith","Pulp group","1,171,134","","1929","10","01 Oct 1929"
"Street & Smith","Pulp group","1,235,752","","1929","11","01 Nov 1929"
"Street & Smith","Pulp group","1,303,052","","1929","12","01 Dec 1929"
"Street & Smith","Pulp group","1,248,329","","1930","1","01 Jan 1930"
"Street & Smith","Pulp group","1,266,967","","1930","2","01 Feb 1930"
"Street & Smith","Pulp group","1,194,430","","1930","3","01 Mar 1930"
"Street & Smith","Pulp group","1,107,406","","1930","4","01 Apr 1930"
"Street & Smith","Pulp group","1,029,037","","1930","5","01 May 1930"
"Street & Smith","Pulp group","1,039,312","","1930","6","01 Jun 1930"
"Street & Smith","Pulp group","973,827","","1930","7","01 Jul 1930"
"Street & Smith","Pulp group","998,188","","1930","8","01 Aug 1930"
"Street & Smith","Pulp group","1,058,027","","1930","9","01 Sep 1930"
"Street & Smith","Pulp group","1,035,512","","1930","10","01 Oct 1930"
"Street & Smith","Pulp group","1,051,915","","1930","11","01 Nov 1930"
"Street & Smith","Pulp group","1,090,640","","1930","12","01 Dec 1930"
"Street & Smith","Pulp group","1,083,021","","1931","1","01 Jan 1931"
"Street & Smith","Pulp group","1,072,786","","1931","2","01 Feb 1931"
"Street & Smith","Pulp group","1,028,311","","1931","3","01 Mar 1931"
"Street & Smith","Pulp group","1,015,832","","1931","4","01 Apr 1931"
"Street & Smith","Pulp group","937,172","","1931","5","01 May 1931"
"Street & Smith","Pulp group","928,430","","1931","6","01 Jun 1931"
